"text"
"never"
"rarely"
"sometimes"
"most of the time"
"always"
"no"
"yes"
"male"
"female"
"other"
"under 45 "
"45 to 64"
"65 to 74"
"75 to 84 "
"85 or more"
"excellent or good"
"fair or poor"
"less than one year"
"one year to two year"
"more than two years"
